State,District,Crop_Name,Season,Min_Temperature(C),Max_Temperature(C),Rainfall(mm),Humidity(%),Wind_Speed(km/h),Soil_Type,Suitable(Y/N)
Andhra Pradesh,Anantapur,Rice,Rabi,9.5,33.3,800.9,66.5,29.8,Black,N
Andhra Pradesh,Anantapur,Wheat,Kharif,20.6,39.7,354,58.6,21,Clay,Y
Andhra Pradesh,Anantapur,Maize,Kharif,18.2,44.9,1169.4,84,25.6,Red,Y
Andhra Pradesh,Anantapur,Cotton,Zaid,14.2,28.4,1663.5,51.1,21.1,Red,Y
Andhra Pradesh,Anantapur,Sugarcane,Rabi,16.1,24.6,1776.4,94.4,24.2,Clay,Y
Andhra Pradesh,Anantapur,Soybean,Rabi,9,40.6,801.4,65.5,3.1,Sandy,N
Andhra Pradesh,Anantapur,Mustard,Annual,14,39.7,1139.3,52.5,15.1,Red,N
Andhra Pradesh,Anantapur,Potato,Zaid,15,28.6,1564.2,58.5,17.8,Laterite,Y
Andhra Pradesh,Anantapur,Onion,Annual,13.8,44,706.9,77.3,16.9,Sandy,Y
Andhra Pradesh,Anantapur,Tomato,Annual,17.4,39.2,1394.1,43.3,21.2,Sandy,N
Andhra Pradesh,Anantapur,Barley,Annual,19.9,36.6,351.3,85.7,20.2,Sandy,N
Andhra Pradesh,Anantapur,Millets,Zaid,10.3,37.9,983.7,59.3,10.8,Clay,N
Andhra Pradesh,Anantapur,Groundnut,Zaid,9,43,1342.2,48.2,5.1,Laterite,N
Andhra Pradesh,Anantapur,Sunflower,Annual,14.1,35.6,446.4,46.5,21.7,Black,Y
Andhra Pradesh,Anantapur,Turmeric,Annual,8.8,27.6,1282.3,66.4,14.2,Loamy,N
Andhra Pradesh,Anantapur,Chilli,Rabi,15.1,30.2,856.4,88.6,20.8,Clay,N
Andhra Pradesh,Anantapur,Pulses,Annual,12.6,43.1,1395.4,67.4,14.9,Alluvial,Y
Andhra Pradesh,Anantapur,Tea,Kharif,19.5,32.1,1333.3,56.9,5.8,Black,Y
Andhra Pradesh,Anantapur,Coffee,Zaid,10.2,24.2,613.5,47.1,14.4,Black,N
Andhra Pradesh,Anantapur,Jute,Rabi,8,38.7,514,85.8,11.8,Clay,Y
Andhra Pradesh,Bapatla ,Maize,Rabi,15,35,600,60,30,Sandy,Y
Andhra Pradesh,Bapatla,Okra,Rabi,18,30,1000,65,3,Sandy,Y
Andhra Pradesh,Bapatla,Green chilli,Rabi,20,30,800,40,5,Sandy,Y
Andhra Pradesh,Bapatla,Gongura,Rabi,20,35,900,70,3,Sandy,Y
Andhra Pradesh,Bapatla,Ragi,Rabi,26,29,700,92,10,Sandy,Y
Andhra Pradesh,Bapatla,Groundnut,Rabi,25,30,700,50,10,Sandy,Y
Andhra Pradesh,Bapatla,Maize,Rabi,15,35,600,60,30,Sandy,Y
Andhra Pradesh,Bapatla,Okra,Rabi,18,30,1000,65,3,Sandy,Y
Andhra Pradesh,Bapatla,Green chilli,Rabi,20,30,800,40,5,Sandy,Y
Andhra Pradesh,Bapatla,Gongura,Rabi,20,35,900,70,3,Sandy,Y
Andhra Pradesh,Bapatla,Ragi,Rabi,26,29,700,92,10,Sandy,Y
Andhra Pradesh,Bapatla,Black gram,Rabi,25,35,600,50,10,Sandy,Y
Andhra Pradesh,Bapatla,Groundnut,Rabi,25,30,700,50,10,Sandy,Y
Andhra Pradesh,Bapatla,Maize,Rabi,15,35,600,60,30,Sandy,Y
Andhra Pradesh,Bapatla,Green chilli,Rabi,20,30,800,40,5,Sandy,Y
Andhra Pradesh,Bapatla,Black gram,Rabi,25,35,600,50,10,Sandy,Y
Andhra Pradesh,Bapatla,Ragi,Rabi,26,29,700,92,10,Sandy,Y
Andhra Pradesh,Bapatla,Groundnut,Rabi,25,30,700,50,10,Sandy,Y
Andhra Pradesh,Bapatla,Green chilli,Rabi,20,30,800,40,5,Sandy,Y
Andhra Pradesh,Bapatla,Black gram,Rabi,25,35,600,50,10,Sandy,Y
Andhra Pradesh,Bapatla,Green gram,Rabi,25,35,700,55,10,Sandy,Y
Andhra Pradesh,Bapatla,Black gram,Rabi,25,35,600,50,10,Sandy,Y
Andhra Pradesh,Bapatla,Groundnut,Rabi,25,40,600,50,10,Black,Y
Andhra Pradesh,Bapatla,Okra,Rabi,25,42,900,40,10,Black,Y
Andhra Pradesh,Bapatla,Green chilli,Rabi,20,35,850,60,15,Black,Y
Andhra Pradesh,Bapatla,Maize,Rabi,15,35,600,60,30,Sandy,Y
Andhra Pradesh,Bapatla,Black gram,Rabi,25,35,600,50,10,Sandy,Y
Andhra Pradesh,Bapatla,Green gram,Rabi,25,35,700,55,10,Sandy,Y
Andhra Pradesh,Bapatla,Black gram,Rabi,25,35,600,50,10,Sandy,Y
Andhra Pradesh,Bapatla,Maize,Rabi,15,35,600,60,30,Sandy,Y
Andhra Pradesh,Bapatla,Maize,Rabi,15,35,600,60,30,Sandy,Y
Andhra Pradesh,Bapatla,Green gram,Rabi,25,35,700,55,10,Sandy,Y
Andhra Pradesh,Bapatla,Black gram,Rabi,25,35,600,50,10,Sandy,Y
Andhra Pradesh,Bapatla,Maize,Rabi,20,30,600,58,3,Black,Y
Andhra Pradesh,Bapatla,Black gram,Rabi,25,35,750,60,5,Black,Y
Andhra Pradesh,Bapatla,Green gram,Rabi,25,40,700,40,5,Black,Y
Andhra Pradesh,Bapatla,Maize,Rabi,20,30,600,58,3,Black,Y
